Table 9-13,,,,,,,,
"Social sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
Doctorate recipients reporting postgraduation status (number),"4,378",360,345,"1,204",517,375,544,"1,033"
Definite postdoctoral training plans,19.6,26.4,21.2,17.2,26.9,12.5,23.5,16.6
Definite employment plans,51.2,30.3,40.0,66.6,43.5,55.5,49.1,47.7
Seeking employment or study,26.5,39.7,34.5,15.0,26.3,27.7,25.4,32.9
Other statusa,2.6,3.6,4.1,1.2,3.3,4.0,2.0,2.8
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,97.2,95.8,94.5,98.1,100.0,93.6,99.2,95.3
Other training or unknownc,2.8,4.2,5.5,1.9,0.0,6.4,0.8,4.7
Definite employment plans (%)d,,,,,,,,
Academe,51.7,67.0,70.3,46.0,56.4,37.0,60.3,51.7
In tenure track faculty position (%),53.5,27.4,30.9,75.9,45.7,32.5,51.6,48.6
Not in tenure track position (%),44.5,71.2,68.0,22.2,54.3,63.6,47.8,47.5
Government,16.0,5.5,3.6,20.0,10.2,23.6,12.7,16.6
Industry or businesse,19.3,15.6,8.0,27.1,18.2,15.9,12.0,16.4
Nonprofit organization,9.1,9.2,7.2,5.5,9.3,17.3,11.6,10.5
Other or unknownf,3.9,2.8,10.9,1.5,5.8,6.3,3.4,4.7
Primary activityg,,,,,,,,
Research and development,44.5,25.0,9.8,62.1,31.4,41.7,45.5,36.1
Teaching,29.4,50.0,68.9,15.8,40.5,12.1,37.0,34.2
Management or administration,9.2,9.3,16.7,3.2,9.0,27.1,5.8,11.3
Professional services and other,16.9,15.7,4.5,18.9,19.0,19.1,11.7,18.5
Secondary activityg,,,,,,,,
Research and development,28.4,35.2,44.7,23.1,33.3,18.6,31.9,31.0
Teaching,21.7,12.0,7.6,29.1,21.9,20.1,18.7,18.0
Management or administration,10.9,13.0,3.8,8.8,6.2,15.6,14.8,13.8
Professional services and other,10.6,6.5,7.6,13.0,8.1,12.6,9.3,9.6
No secondary activity,28.4,33.3,36.4,26.0,30.5,33.2,25.3,27.6
Activity unknown,4.1,0.9,4.3,3.5,6.7,4.3,3.7,4.5
Postgraduation location (%)h,,,,,,,,
United Statesi,80.6,87.3,89.1,69.5,81.6,90.6,89.1,83.3
Midwest,14.4,17.6,18.5,12.3,15.7,14.1,14.7,14.6
Northeast,18.4,20.1,23.7,18.3,20.1,17.6,21.8,13.7
South,28.0,21.6,20.9,22.8,26.6,43.5,31.9,32.5
West,19.1,26.5,23.7,15.7,18.4,15.3,20.0,21.7
Outside the United States,19.3,12.7,10.4,30.4,18.4,9.4,10.9,16.7
Location unknown,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),28.7,33.8,41.7,15.7,28.8,40.4,35.9,33.7
Male doctorate recipients reporting postgraduation status (number),"2,174",111,119,801,302,159,207,475
Definite postdoctoral training plans,19.2,29.7,25.2,17.4,27.8,8.2,23.2,14.9
Definite employment plans,54.0,27.0,45.4,66.7,42.1,59.1,49.8,48.6
Seeking employment or study,24.7,41.4,28.6,14.6,26.8,27.7,26.1,34.1
