Table 9-14,,,,,
"Education research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
(Number and percent),,,,,
Characteristic,All education fields,Education leadership and administration,Education research,Teacher education,"Education, other"
Doctorate recipients reporting postgraduation status (number),"3,277",947,"1,068",924,338
Definite postdoctoral training plans,5.8,2.7,7.1,6.3,8.6
Definite employment plans,64.8,74.4,62.5,59.7,59.2
Seeking employment or study,26.7,20.3,27.8,31.5,28.1
Other statusa,2.7,2.5,2.5,2.5,4.1
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,94.7,96.2,90.8,100.0,93.1
Other training or unknownc,5.3,3.8,9.2,0.0,6.9
Definite employment plans (%)d,,,,,
Academe,54.7,54.3,56.8,56.7,43.0
In tenure track faculty position (%),28.3,10.2,31.4,45.4,33.7
Not in tenure track position (%),68.0,86.4,63.9,51.1,65.1
Government,4.3,4.1,4.5,3.1,8.0
Industry or businesse,7.8,4.3,12.0,6.9,8.5
Nonprofit organization,5.9,5.1,6.1,5.1,10.5
Other or unknownf,27.3,32.2,20.5,28.3,30.0
Primary activityg,,,,,
Research and development,11.3,8.0,12.9,12.7,13.7
Teaching,40.2,18.2,42.6,62.6,45.8
Management or administration,34.8,62.8,23.5,16.8,26.8
Professional services and other,13.6,11.1,21.0,7.9,13.7
Secondary activityg,,,,,
Research and development,24.7,12.6,27.3,34.8,28.9
Teaching,17.4,18.9,16.4,17.6,15.3
Management or administration,11.4,10.2,14.5,10.8,7.4
Professional services and other,9.1,10.8,9.5,6.8,7.9
No secondary activity,37.5,47.5,32.3,30.1,41.1
Activity unknown,5.9,7.8,5.7,4.2,4.5
Postgraduation location (%)h,,,,,
United Statesi,93.9,95.8,95.2,89.5,95.6
Midwest,19.7,20.5,21.3,18.2,16.2
Northeast,14.9,15.3,11.0,16.4,22.3
South,41.9,45.0,46.2,37.4,30.1
West,16.8,14.4,16.3,17.0,25.8
Outside the United States,6.1,4.2,4.8,10.3,4.4
Location unknown,*,0.0,0.0,0.2,0.0
Postgraduation location in same state as doctorate institution (%),61.7,70.3,58.0,56.2,60.7
Male doctorate recipients reporting postgraduation status (number),965,325,318,231,91
Definite postdoctoral training plans,6.2,2.8,9.1,6.5,7.7
Definite employment plans,67.2,73.8,65.4,61.9,62.6
Seeking employment or study,24.5,21.8,23.3,29.4,25.3
Other statusa,2.2,1.5,2.2,2.2,4.4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,93.3,100.0,89.7,100.0,85.7
Other training or unknownc,6.7,0.0,10.3,0.0,14.3
Definite employment plans (%)d,,,,,
Academe,54.5,51.3,58.7,57.3,45.6
In tenure track faculty position (%),34.3,11.4,38.5,59.8,42.3
Not in tenure track position (%),60.9,84.6,54.9,35.4,57.7
Government,4.8,5.0,5.3,D,D
Industry or businesse,6.2,4.2,9.1,4.2,8.8
Nonprofit organization,7.3,7.5,9.1,D,D
Other or unknownf,27.3,32.1,17.8,30.8,33.3
Primary activityg,,,,,
Research and development,12.4,9.8,D,12.9,D
Teaching,39.4,16.1,45.2,65.5,48.1
Management or administration,37.3,64.3,D,16.5,D
Professional services and other,10.9,9.8,14.2,5.0,19.2
Secondary activityg,,,,,
Research and development,24.0,12.1,31.0,29.5,34.6
Teaching,18.6,20.1,16.2,20.9,15.4
Management or administration,13.4,11.2,13.7,17.3,11.5
Professional services and other,8.5,9.8,10.2,D,D
No secondary activity,35.6,46.9,28.9,D,D
Activity unknown,5.4,6.7,5.3,2.8,7.0
Postgraduation location (%)h,,,,,
United Statesi,91.2,94.8,92.0,D,D
Midwest,21.0,24.1,21.1,D,D
Northeast,14.5,16.5,9.7,17.7,17.2
South,37.3,37.3,42.6,34.2,25.0
West,17.9,16.5,18.1,12.7,35.9
Outside the United States,8.6,5.2,8.0,D,D
Location unknown,0.1,0.0,0.0,0.6,0.0
Postgraduation location in same state as doctorate institution (%),58.6,69.5,51.1,48.7,68.8
Female doctorate recipients reporting postgraduation status (number),"2,312",622,750,693,247
Definite postdoctoral training plans,5.6,2.7,6.3,6.2,8.9
Definite employment plans,63.8,74.8,61.2,59.0,57.9
Seeking employment or study,27.6,19.5,29.7,32.2,29.1
Other statusa,2.9,3.1,2.7,2.6,4.0
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,95.3,94.1,91.5,100.0,95.5
Other training or unknownc,4.7,5.9,8.5,0.0,4.5
Definite employment plans (%)d,,,,,
Academe,54.7,55.9,56.0,56.5,42.0
In tenure track faculty position (%),25.7,9.6,28.0,40.3,30.0
Not in tenure track position (%),71.0,87.3,68.1,56.7,68.3
Government,4.1,3.7,4.1,D,D
Industry or businesse,8.5,4.3,13.3,7.8,8.4
Nonprofit organization,5.4,3.9,4.8,D,D
Other or unknownf,27.3,32.3,21.8,27.4,28.7
Primary activityg,,,,,
Research and development,10.8,7.0,D,12.6,D
Teaching,40.6,19.2,41.4,61.5,44.9
Management or administration,33.8,62.0,D,16.9,D
Professional services and other,14.8,11.7,24.1,9.0,11.6
Secondary activityg,,,,,
Research and development,25.0,12.9,25.7,36.7,26.8
Teaching,16.9,18.3,16.4,16.4,15.2
Management or administration,10.5,9.6,14.8,8.5,5.8
Professional services and other,9.3,11.3,9.3,D,D
No secondary activity,38.3,47.9,33.8,D,D
Activity unknown,6.1,8.4,5.9,4.6,3.5
Postgraduation location (%)h,,,,,
United Statesi,95.1,96.3,96.6,D,D
Midwest,19.1,18.7,21.3,D,D
Northeast,15.1,14.7,11.7,15.9,24.2
South,43.9,49.0,47.8,38.5,32.1
West,16.3,13.3,15.4,18.6,21.8
Outside the United States,4.9,3.7,3.4,D,D
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),63.1,70.7,61.3,58.8,57.6
