Table 9-15,,,,,,
"Humanities research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,
(Number and percent),,,,,,
Characteristic,All humanities fields,"English language and literature, letters","Foreign languages, literatures, and linguistics",History,Philosophy and religious studies,"Humanities, other"
Doctorate recipients reporting postgraduation status (number),"2,736",827,448,611,535,315
Definite postdoctoral training plans,16.0,11.5,12.1,22.7,22.4,9.2
Definite employment plans,44.8,48.4,44.2,36.7,41.3,58.4
Seeking employment or study,34.8,36.3,39.5,36.0,30.8,28.9
Other statusa,4.3,3.7,4.2,4.6,5.4,3.5
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,96.8,96.8,94.4,97.1,97.5,96.6
Other training or unknownc,3.2,3.2,5.6,2.9,2.5,3.4
Definite employment plans (%)d,,,,,,
Academe,66.3,79.3,72.7,60.3,64.7,40.8
In tenure track faculty position (%),35.1,36.0,27.8,39.3,35.0,38.7
Not in tenure track position (%),62.0,62.8,68.8,58.5,60.8,54.7
Government,3.7,1.8,D,11.6,2.7,D
Industry or businesse,7.8,7.0,D,7.1,10.4,D
Nonprofit organization,12.9,3.5,5.1,7.6,14.5,46.2
Other or unknownf,9.3,8.5,12.6,13.4,7.7,4.3
Primary activityg,,,,,,
Research and development,9.6,5.9,9.9,13.8,16.2,5.1
Teaching,66.6,74.6,75.4,62.9,57.8,53.7
Management or administration,10.2,10.3,6.3,14.3,6.4,14.1
Professional services and other,13.6,9.2,8.4,9.0,19.6,27.1
Secondary activityg,,,,,,
Research and development,34.2,32.8,44.5,35.2,32.4,27.1
Teaching,14.0,10.8,8.9,11.4,18.6,24.3
Management or administration,12.1,12.1,11.0,10.5,9.8,18.1
Professional services and other,7.5,6.9,5.2,8.1,7.4,10.7
No secondary activity,32.2,37.4,30.4,34.8,31.9,19.8
Activity unknown,4.5,2.5,3.5,6.3,7.7,3.8
Postgraduation location (%)h,,,,,,
United Statesi,87.4,94.1,82.1,87.1,84.8,82.6
Midwest,17.5,18.8,12.7,14.3,21.4,19.2
Northeast,21.5,20.4,24.6,25.9,20.8,13.6
South,30.4,36.4,24.6,30.9,22.6,35.2
West,17.4,18.0,19.4,15.2,19.1,14.6
Outside the United States,12.4,5.9,17.5,12.7,15.0,17.4
Location unknown,0.2,0.0,0.4,0.3,0.3,0.0
Postgraduation location in same state as doctorate institution (%),37.3,47.5,34.9,33.3,31.1,32.9
Male doctorate recipients reporting postgraduation status (number),"1,442",324,195,349,342,232
Definite postdoctoral training plans,16.1,13.6,11.8,22.3,20.8,6.9
Definite employment plans,44.5,46.0,42.1,35.5,40.4,63.8
Seeking employment or study,35.5,37.3,40.0,38.7,33.0,28.0
Other statusa,3.9,2.8,6.2,3.4,5.8,1.3
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,97.4,95.5,95.7,98.7,97.2,100.0
Other training or unknownc,2.6,4.5,4.3,1.3,2.8,0.0
Definite employment plans (%)d,,,,,,
Academe,59.6,77.2,73.2,54.0,64.5,34.5
In tenure track faculty position (%),35.1,37.4,26.7,40.3,31.5,39.2
Not in tenure track position (%),61.3,61.7,70.0,55.2,64.0,52.9
Government,4.5,D,D,14.5,D,D
Industry or businesse,8.1,8.7,D,8.1,D,6.8
Nonprofit organization,18.3,D,D,8.1,13.0,D
Other or unknownf,9.5,7.4,13.4,15.3,9.4,4.7
Primary activityg,,,,,,
Research and development,9.1,7.5,D,14.5,D,D
Teaching,63.2,70.7,75.9,61.5,60.9,51.7
Management or administration,11.2,8.8,D,18.8,D,D
Professional services and other,16.4,12.9,11.4,5.1,18.8,30.1
Secondary activityg,,,,,,
Research and development,30.9,28.6,44.3,35.9,27.3,25.2
Teaching,16.0,13.6,D,10.3,15.6,D
Management or administration,12.9,11.6,13.9,7.7,11.7,18.9
Professional services and other,7.8,6.1,D,10.3,6.3,D
No secondary activity,32.4,40.1,31.6,35.9,39.1,16.1
Activity unknown,4.2,1.3,3.7,5.6,7.2,3.4
Postgraduation location (%)h,,,,,,
United Statesi,85.3,92.2,85.7,85.1,81.3,82.3
Midwest,18.8,21.2,12.4,15.8,20.6,21.3
Northeast,20.5,23.3,28.6,24.3,17.7,11.0
South,29.3,33.2,25.7,27.7,22.5,37.8
West,16.4,14.0,19.0,17.3,19.6,12.2
Outside the United States,14.4,7.8,14.3,14.4,18.2,17.7
Location unknown,0.2,0.0,0.0,0.5,0.5,0.0
Postgraduation location in same state as doctorate institution (%),35.5,48.2,36.2,31.7,31.1,30.5
Female doctorate recipients reporting postgraduation status (number),"1,294",503,253,262,193,83
Definite postdoctoral training plans,15.8,10.1,12.3,23.3,25.4,15.7
Definite employment plans,45.3,49.9,45.8,38.2,43.0,43.4
Seeking employment or study,34.1,35.6,39.1,32.4,26.9,31.3
Other statusa,4.8,4.4,2.8,6.1,4.7,9.6
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,96.1,98.0,93.5,95.1,98.0,92.3
Other training or unknownc,3.9,2.0,6.5,4.9,2.0,7.7
Definite employment plans (%)d,,,,,,
Academe,73.7,80.5,72.4,68.0,65.1,66.7
In tenure track faculty position (%),35.2,35.1,28.6,38.2,40.7,37.5
Not in tenure track position (%),62.7,63.4,67.9,61.8,55.6,58.3
Government,2.7,D,D,8.0,D,D
Industry or businesse,7.5,6.0,8.6,6.0,D,D
Nonprofit organization,7.0,D,D,7.0,16.9,D
Other or unknownf,9.0,9.2,12.1,11.0,4.8,2.8
Primary activityg,,,,,,
Research and development,10.2,4.9,D,12.9,D,D
Teaching,70.3,77.0,75.0,64.5,52.6,61.8
Management or administration,9.1,11.1,D,8.6,D,D
Professional services and other,10.4,7.0,6.3,14.0,21.1,14.7
Secondary activityg,,,,,,
Research and development,37.8,35.4,44.6,34.4,40.8,35.3
Teaching,11.8,9.1,D,12.9,23.7,D
Management or administration,11.3,12.3,8.9,14.0,6.6,14.7
Professional services and other,7.2,7.4,D,5.4,9.2,D
No secondary activity,31.9,35.8,29.5,33.3,19.7,35.3
Activity unknown,4.8,3.2,3.4,7.0,8.4,5.6
Postgraduation location (%)h,,,,,,
United Statesi,89.6,95.4,79.6,89.4,90.2,83.7
Midwest,16.1,17.2,12.9,12.4,22.7,12.2
Northeast,22.5,18.5,21.8,28.0,25.8,22.4
South,31.6,38.4,23.8,34.8,22.7,26.5
West,18.5,20.5,19.7,12.4,18.2,22.4
Outside the United States,10.2,4.6,19.7,10.6,9.8,16.3
Location unknown,0.1,0.0,0.7,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),39.2,47.0,34.0,35.4,31.1,40.8
