Table 9-16,,,
"Business research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,All business fields,Business administration and management,"Business, other"
Doctorate recipients reporting postgraduation status (number),"1,163",357,806
Definite postdoctoral training plans,6.7,5.9,7.1
Definite employment plans,71.5,72.3,71.2
Seeking employment or study,18.1,17.4,18.5
Other statusa,3.5,4.5,3.1
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,91.0,90.5,91.2
Other training or unknownc,9.0,9.5,8.8
Definite employment plans (%)d,,,
Academe,75.5,66.3,79.6
In tenure track faculty position (%),80.6,72.5,83.6
Not in tenure track position (%),17.4,22.8,15.3
Government,D,D,3.8
Industry or businesse,16.0,21.3,13.6
Nonprofit organization,D,D,1.6
Other or unknownf,1.8,2.7,1.4
Primary activityg,,,
Research and development,47.4,35.4,52.8
Teaching,31.7,30.9,32.1
Management or administration,10.9,19.9,6.9
Professional services and other,9.9,13.8,8.2
Secondary activityg,,,
Research and development,32.1,30.5,32.8
Teaching,46.3,41.1,48.6
Management or administration,5.4,8.5,4.0
Professional services and other,5.9,6.9,5.5
No secondary activity,10.3,13.0,9.1
Activity unknown,4.4,4.7,4.4
Postgraduation location (%)h,,,
United Statesi,77.4,79.9,76.2
Midwest,15.8,17.6,15.1
Northeast,15.3,14.3,15.7
South,31.6,31.5,31.7
West,13.6,15.1,13.0
Outside the United States,22.5,20.1,23.6
Location unknown,0.1,0.0,0.2
Postgraduation location in same state as doctorate institution (%),20.4,24.0,18.9
Male doctorate recipients reporting postgraduation status (number),648,199,449
Definite postdoctoral training plans,6.9,6.0,7.3
Definite employment plans,72.8,74.9,71.9
Seeking employment or study,17.4,16.1,18.0
Other statusa,2.8,3.0,2.7
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,86.7,83.3,87.9
Other training or unknownc,13.3,16.7,12.1
Definite employment plans (%)d,,,
Academe,73.7,67.8,76.5
In tenure track faculty position (%),79.6,72.3,82.6
Not in tenure track position (%),17.5,22.8,15.4
Government,D,D,D
Industry or businesse,18.0,22.1,16.1
Nonprofit organization,D,D,D
Other or unknownf,1.3,2.0,0.9
Primary activityg,,,
Research and development,48.4,36.2,54.1
Teaching,30.8,34.8,29.0
Management or administration,9.6,13.5,7.8
Professional services and other,11.2,15.6,9.1
Secondary activityg,,,
Research and development,30.1,33.3,28.7
Teaching,44.4,36.9,47.9
Management or administration,6.0,9.2,4.6
Professional services and other,7.1,7.1,7.2
No secondary activity,12.3,13.5,11.7
Activity unknown,5.1,5.4,5.0
Postgraduation location (%)h,,,
United Statesi,76.0,76.4,75.8
Midwest,15.9,14.9,16.3
Northeast,16.4,14.9,17.1
South,30.0,31.1,29.5
West,12.8,13.7,12.4
Outside the United States,24.0,23.6,24.2
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),19.5,21.7,18.5
Female doctorate recipients reporting postgraduation status (number),515,158,357
Definite postdoctoral training plans,6.4,5.7,6.7
Definite employment plans,69.9,69.0,70.3
Seeking employment or study,19.0,19.0,19.0
Other statusa,4.5,6.3,3.6
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,97.0,100.0,95.8
Other training or unknownc,3.0,0.0,4.2
Definite employment plans (%)d,,,
Academe,77.8,64.2,83.7
In tenure track faculty position (%),81.8,72.9,84.8
Not in tenure track position (%),17.1,22.9,15.2
Government,D,6.4,D
Industry or businesse,13.3,20.2,10.4
Nonprofit organization,D,5.5,D
Other or unknownf,2.5,3.7,2.0
Primary activityg,,,
Research and development,46.1,34.3,51.2
Teaching,32.9,25.7,36.0
Management or administration,12.7,28.6,5.8
Professional services and other,8.4,11.4,7.0
Secondary activityg,,,
Research and development,34.6,26.7,38.0
Teaching,48.7,46.7,49.6
Management or administration,4.6,7.6,3.3
Professional services and other,4.3,6.7,3.3
No secondary activity,7.8,12.4,5.8
Activity unknown,3.6,3.7,3.6
Postgraduation location (%)h,,,
United Statesi,79.1,84.7,76.7
Midwest,15.8,21.2,13.5
Northeast,13.7,13.6,13.8
South,33.8,32.2,34.5
West,14.8,16.9,13.8
Outside the United States,20.6,15.3,22.9
Location unknown,0.3,0.0,0.4
Postgraduation location in same state as doctorate institution (%),21.6,27.1,19.3
