Table 9-17,,,
"Visual and performing arts research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,All visual and performing arts fields,Performing arts,"Visual arts, media studies/ design"
Doctorate recipients reporting postgraduation status (number),690,442,248
Definite postdoctoral training plans,11.2,6.8,19.0
Definite employment plans,39.9,40.7,38.3
Seeking employment or study,45.7,48.2,41.1
Other statusa,3.3,4.3,1.6
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,94.8,96.7,93.6
Other training or unknownc,5.2,3.3,6.4
Definite employment plans (%)d,,,
Academe,60.7,57.8,66.3
In tenure track faculty position (%),35.3,31.7,41.3
Not in tenure track position (%),62.3,65.4,57.1
Government,D,D,D
Industry or businesse,14.9,18.3,8.4
Nonprofit organization,D,D,D
Other or unknownf,8.0,10.0,4.2
Primary activityg,,,
Research and development,12.0,5.3,25.0
Teaching,62.2,67.3,52.3
Management or administration,9.7,9.9,9.1
Professional services and other,16.2,17.5,13.6
Secondary activityg,,,
Research and development,30.9,25.7,40.9
Teaching,13.9,12.3,17.0
Management or administration,8.9,7.6,11.4
Professional services and other,11.2,14.0,5.7
No secondary activity,35.1,40.4,25.0
Activity unknown,5.8,5.0,7.4
Postgraduation location (%)h,,,
United Statesi,85.5,87.6,82.4
Midwest,17.3,18.6,15.5
Northeast,25.0,21.9,29.6
South,23.3,26.2,19.0
West,19.6,21.0,17.6
Outside the United States,14.5,12.4,17.6
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),34.7,37.6,30.3
Male doctorate recipients reporting postgraduation status (number),312,237,75
Definite postdoctoral training plans,8.7,6.3,16.0
Definite employment plans,40.4,41.4,37.3
Seeking employment or study,48.4,49.4,45.3
Other statusa,2.6,3.0,1.3
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,100.0,100.0,100.0
Other training or unknownc,0.0,0.0,0.0
Definite employment plans (%)d,,,
Academe,58.7,57.1,64.3
In tenure track faculty position (%),37.8,35.7,44.4
Not in tenure track position (%),59.5,60.7,55.6
Government,D,D,0.0
Industry or businesse,22.2,D,D
Nonprofit organization,D,11.2,D
Other or unknownf,7.9,8.2,7.1
Primary activityg,,,
Research and development,8.3,D,D
Teaching,65.3,67.0,59.3
Management or administration,7.4,D,D
Professional services and other,19.0,D,D
Secondary activityg,,,
Research and development,28.9,24.5,44.4
Teaching,15.7,14.9,18.5
Management or administration,8.3,D,D
Professional services and other,15.7,D,D
No secondary activity,31.4,36.2,14.8
Activity unknown,4.0,4.1,3.6
Postgraduation location (%)h,,,
United Statesi,83.0,85.8,75.0
Midwest,18.3,18.6,17.5
Northeast,17.6,15.9,22.5
South,24.2,26.5,17.5
West,22.2,24.8,15.0
Outside the United States,17.0,14.2,25.0
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),34.0,36.3,27.5
Female doctorate recipients reporting postgraduation status (number),378,205,173
Definite postdoctoral training plans,13.2,7.3,20.2
Definite employment plans,39.4,40.0,38.7
Seeking employment or study,43.4,46.8,39.3
Other statusa,4.0,5.9,1.7
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,92.0,93.3,91.4
Other training or unknownc,8.0,6.7,8.6
Definite employment plans (%)d,,,
Academe,62.4,58.5,67.2
In tenure track faculty position (%),33.3,27.1,40.0
Not in tenure track position (%),64.5,70.8,57.8
Government,D,D,D
Industry or businesse,8.7,D,D
Nonprofit organization,D,D,23.9
Other or unknownf,8.1,12.2,3.0
Primary activityg,,,
Research and development,15.2,D,D
Teaching,59.4,67.5,49.2
Management or administration,11.6,D,D
Professional services and other,13.8,D,D
Secondary activityg,,,
Research and development,32.6,27.3,39.3
Teaching,12.3,9.1,16.4
Management or administration,9.4,D,D
Professional services and other,7.2,D,D
No secondary activity,38.4,45.5,29.5
Activity unknown,7.4,6.1,9.0
Postgraduation location (%)h,,,
United Statesi,87.4,89.7,85.3
Midwest,16.6,18.6,14.7
Northeast,30.7,28.9,32.4
South,22.6,25.8,19.6
West,17.6,16.5,18.6
Outside the United States,12.6,10.3,14.7
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.2,39.2,31.4
