Table 9-18,,,,,
"Other non-science and engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
(Number and percent),,,,,
Characteristic,All other non-science and engineering fields,Communications and journalism,Multidisciplinary/ interdisciplinary studies,Public administration and social services,"Non-science and engineering, other"
Doctorate recipients reporting postgraduation status (number),"1,740",456,274,433,577
Definite postdoctoral training plans,12.9,11.6,12.4,11.1,15.4
Definite employment plans,51.3,53.1,45.6,55.4,49.4
Seeking employment or study,32.1,32.0,38.3,29.6,31.2
Other statusa,3.7,3.3,3.6,3.9,3.8
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,96.9,98.1,94.1,97.9,96.6
Other training or unknownc,3.1,1.9,5.9,2.1,3.4
Definite employment plans (%)d,,,,,
Academe,62.6,78.9,60.8,55.0,55.8
In tenure track faculty position (%),52.3,55.5,30.3,58.3,54.1
Not in tenure track position (%),44.8,42.4,63.2,37.9,44.7
Government,9.8,2.9,5.6,17.9,10.5
Industry or businesse,15.1,11.6,16.0,7.1,24.6
Nonprofit organization,8.5,3.3,7.2,15.4,7.7
Other or unknownf,4.0,3.3,10.4,4.6,1.4
Primary activityg,,,,,
Research and development,24.5,22.5,10.1,29.9,27.9
Teaching,42.3,59.3,50.4,28.1,36.4
Management or administration,14.7,6.5,21.0,21.6,12.9
Professional services and other,18.5,11.7,18.5,20.3,22.8
Secondary activityg,,,,,
Research and development,34.1,42.4,28.6,28.6,34.2
Teaching,19.9,19.5,16.0,28.6,14.7
Management or administration,11.1,7.8,8.4,13.0,13.6
Professional services and other,9.1,3.9,14.3,9.5,11.0
No secondary activity,25.7,26.4,32.8,20.3,26.5
Activity unknown,4.4,4.5,4.8,3.8,4.6
Postgraduation location (%)h,,,,,
United Statesi,87.9,88.8,89.9,91.0,84.0
Midwest,18.5,15.9,14.5,22.9,18.7
Northeast,17.7,14.6,24.5,18.1,16.8
South,33.1,38.3,31.4,34.7,28.3
West,18.0,19.3,18.2,14.6,19.5
Outside the United States,11.9,10.5,10.1,9.0,16.0
Location unknown,0.2,0.7,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.8,30.5,44.0,35.4,36.6
Male doctorate recipients reporting postgraduation status (number),735,191,124,145,275
Definite postdoctoral training plans,13.6,9.9,12.9,15.2,15.6
Definite employment plans,52.0,55.0,46.0,53.8,51.6
Seeking employment or study,30.2,31.4,37.1,26.9,28.0
Other statusa,4.1,3.7,4.0,4.1,4.4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,99.0,100.0,100.0,100.0,97.7
Other training or unknownc,1.0,0.0,0.0,0.0,2.3
Definite employment plans (%)d,,,,,
Academe,59.7,D,56.1,44.9,D
In tenure track faculty position (%),52.2,D,21.9,62.9,D
Not in tenure track position (%),43.4,47.6,65.6,28.6,36.7
Government,10.7,D,D,30.8,D
Industry or businesse,18.6,13.3,22.8,6.4,27.5
Nonprofit organization,7.3,D,D,11.5,7.7
Other or unknownf,3.7,3.8,7.0,6.4,0.7
Primary activityg,,,,,
Research and development,25.2,22.2,11.1,33.8,28.1
Teaching,41.9,58.6,46.3,26.0,37.0
Management or administration,14.5,7.1,20.4,23.4,12.6
Professional services and other,18.4,12.1,22.2,16.9,22.2
Secondary activityg,,,,,
Research and development,33.2,40.4,25.9,27.3,34.1
Teaching,18.6,20.2,18.5,26.0,13.3
Management or administration,11.5,D,D,15.6,14.1
Professional services and other,11.2,D,D,14.3,13.3
No secondary activity,25.5,27.3,35.2,16.9,25.2
Activity unknown,4.5,5.7,5.3,1.3,4.9
Postgraduation location (%)h,,,,,
United Statesi,81.5,84.7,D,84.0,D
Midwest,17.8,16.9,9.6,24.0,18.4
Northeast,17.0,11.3,28.8,17.0,16.2
South,30.7,42.7,24.7,33.0,23.8
West,16.0,13.7,D,10.0,D
Outside the United States,18.5,15.3,D,16.0,D
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),36.3,32.3,46.6,38.0,34.1
Female doctorate recipients reporting postgraduation status (number),"1,005",265,150,288,302
Definite postdoctoral training plans,12.3,12.8,12.0,9.0,15.2
Definite employment plans,50.7,51.7,45.3,56.3,47.4
Seeking employment or study,33.5,32.5,39.3,30.9,34.1
Other statusa,3.4,3.0,3.3,3.8,3.3
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,95.2,97.1,88.9,96.2,95.7
Other training or unknownc,4.8,2.9,11.1,3.8,4.3
Definite employment plans (%)d,,,,,
Academe,64.7,D,64.7,59.9,D
In tenure track faculty position (%),52.4,D,36.4,56.7,D
Not in tenure track position (%),45.8,38.5,61.4,41.2,52.5
Government,9.0,D,D,11.7,D
Industry or businesse,12.5,10.2,10.3,7.4,21.7
Nonprofit organization,9.4,D,D,17.3,7.7
Other or unknownf,4.3,2.9,13.2,3.7,2.1
Primary activityg,,,,,
Research and development,24.0,22.7,9.2,27.9,27.7
Teaching,42.6,59.8,53.8,29.2,35.8
Management or administration,14.8,6.1,21.5,20.8,13.1
Professional services and other,18.6,11.4,15.4,22.1,23.4
Secondary activityg,,,,,
Research and development,34.8,43.9,30.8,29.2,34.3
Teaching,20.9,18.9,13.8,29.9,16.1
Management or administration,10.9,D,D,11.7,13.1
Professional services and other,7.6,D,D,7.1,8.8
No secondary activity,25.8,25.8,30.8,22.1,27.7
Activity unknown,4.3,3.6,4.4,4.9,4.2
Postgraduation location (%)h,,,,,
United Statesi,92.7,91.8,D,94.7,D
Midwest,18.9,15.2,18.6,22.3,19.0
Northeast,18.1,17.0,20.9,18.6,17.5
South,34.9,35.1,37.2,35.6,32.8
West,19.6,23.4,D,17.0,D
Outside the United States,6.9,7.0,D,5.3,D
Location unknown,0.3,1.2,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.3,29.2,41.9,34.0,39.2
