Table 9-19,,,,,,,,,,,,,,,,,,,
"Postgraduation plans of research doctorate recipients, by ethnicity, race, and citizenship status: 2021",,,,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,,,
Characteristic,Totala,U.S. citizen,Non-U.S. citizen,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,,,,,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
,,,,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen
All doctorate recipients (number),"47,433","30,374","16,814","2,729","1,127",91,D,"2,937","11,352","2,328",576,"20,717","3,290","1,074",D,306,240,192,113
Definite postdoctoral training plans,28.9,27.5,31.6,28.9,34.6,25.3,D,28.4,31.7,17.1,21.4,28.3,31.9,30.6,D,20.9,27.9,19.3,33.6
Definite employment plans,41.0,42.8,37.8,40.9,36.1,51.6,D,39.9,37.9,50.3,37.2,42.6,37.5,40.9,D,46.4,43.3,44.3,37.2
Seeking employment or study,26.9,26.0,28.6,26.5,27.1,20.9,D,26.3,28.8,28.8,39.2,25.7,27.9,24.2,D,26.8,20.8,24.5,19.5
Other statusb,3.1,3.7,2.0,3.6,2.2,2.2,0.0,5.4,1.6,3.7,2.1,3.3,2.5,4.3,1.8,5.6,7.5,11.5,6.2
Definite employment plans (%)c,,,,,,,,,,,,,,,,,,,
Academe,38.4,40.1,35.0,42.1,46.7,61.7,D,31.1,30.4,42.7,37.4,40.9,45.1,38.3,57.4,35.9,D,35.3,28.6
In tenure track faculty position (%),45.4,35.5,68.5,39.4,66.8,31.0,D,38.7,71.1,37.8,47.5,34.3,65.5,33.3,74.1,43.1,D,33.3,66.7
Not in tenure track position (%),50.8,61.6,26.0,58.7,27.4,62.1,D,57.1,24.3,58.0,40.0,63.0,28.2,62.5,25.9,52.9,D,63.3,16.7
Government,7.9,10.0,3.9,10.0,8.4,10.6,D,7.6,2.8,12.5,9.8,9.8,5.0,9.8,D,14.1,D,16.5,7.1
Industry or businessd,40.9,33.7,55.8,30.0,38.6,D,D,49.8,62.5,21.7,41.1,33.8,43.8,34.4,29.8,D,D,30.6,50.0
Nonprofit organization,6.5,8.2,3.2,8.3,4.7,D,D,7.7,2.8,9.7,8.9,7.8,2.8,9.1,D,D,D,9.4,2.4
Other or unknowne,6.2,8.1,2.2,9.6,1.7,10.6,0.0,3.8,1.5,13.4,2.8,7.7,3.3,8.4,8.5,8.5,9.6,8.2,11.9
Postgraduation location (%)f,,,,,,,,,,,,,,,,,,,
United States,89.5,98.0,72.1,98.7,67.8,D,D,97.5,77.4,98.8,60.7,97.9,59.3,98.2,53.2,D,D,95.3,85.7
Outside the United States,10.5,2.0,27.8,1.2,32.2,D,D,2.5,22.5,1.1,39.3,2.1,40.6,1.8,D,D,D,3.5,14.3
Location unknown,0.1,*,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,*,0.1,0.0,0.0,0.0,1.0,1.2,0.0
Postgraduation location in same state as doctorate institution (%),22.9,29.3,11.1,29.8,10.3,40.0,D,27.5,11.2,34.3,11.3,28.9,11.8,27.5,7.1,34.0,D,30.3,10.0
